datetime,department,name
 2021/08/18 11:24 ,人文学院,邮说小程序-中国科技故事共享新模式
 2021/08/17 12:33 ,人文学院,讲述中国科技故事-邮说公众号建设
 2021/08/13 14:40 ,计算机学院,夜视场景图像语义分割系统设计与实现（补立项）
 2021/08/02 10:05 ,计算机学院,基于知识图谱的问答算法设计
 2021/07/30 23:55 ,图书馆,外文驿站|英伦茶语
 2021/07/27 10:36 ,计算机学院,基于语音交互模块的智慧导览机器人（计算机学院实验班）
 2021/07/26 16:49 ,人文学院,“双线混融”教学模式下大学物理 学业评价研究
 2021/07/24 11:58 ,图书馆,基于深度学习的智慧阅读推荐系统研究（补立项）
 2021/07/22 20:32 ,计算机学院,全息立体视频直播原型
 2021/07/22 20:23 ,计算机学院,基于毫米波智能感知的睡眠质量分析
 2020/10/30 01:36 ,人工智能学院,OTC中成药推荐App
 2020/10/30 01:09 ,人工智能学院,基于深度学习的晶圆表面缺陷检测技术研究
 2020/10/30 00:44 ,电子工程学院,大数据和人工智能为基础模拟报考
 2020/10/29 23:44 ,计算机学院,基于声音识别的歌曲演唱应用
 2020/10/29 23:38 ,计算机学院,北邮暖暖爱心志愿者系统
 2020/10/28 10:43 ,国际学院,带你逛逛——评价与推荐景区非正式导游的APP
 2020/10/28 10:34 ,电子工程学院,基于信道状态信息的5g定位技术
 2020/10/28 10:29 ,电子工程学院,基于树莓派4b的网络附属存储与智能安防
 2020/10/27 22:05 ,计算机学院,自动遥控双模式捡网球机器人
 2020/10/27 17:42 ,国际学院,数字媒体时代背景下大学生美育素养的新变化及其提升路径研究
 2021/03/26 16:36 ,电子工程学院,表格化信息的智能解析
 2021/03/26 14:34 ,自动化学院,融合AR语义识别的机器人运动感知系统研究
 2021/03/26 14:04 ,自动化学院,基于智能视觉的易测助手开发
 2021/03/25 18:12 ,电子工程学院,智能化视力保护与检测模板
 2021/03/25 14:18 ,网络教育学院,基于自然语言处理的智能导学系统研究
 2021/03/25 11:51 ,人工智能学院,基于人工智能的手机健康使用提示软件
 2021/03/25 11:47 ,人工智能学院,基于人工智能的乒乓球训练及比赛视频分析
 2021/03/24 20:00 ,马克思主义学院,全球抗疫背景下中美核心价值观比较研究
